SYMBOL	24888_1366Naive	24888_1369Naive	24888_1369DN	24888_1367DN	24888_1367Naive	24888_2189Naive	24888_2189DN	24888_2179Naive	24888_1368Naive	24888_2183Naive	24888_2183DN	24888_2185Naive	24888_2185DN	24888_1365DN	24888_1365Naive
RP5-942I16.1	2	2	0	0	0	0	0	0	0	3	0	5	0	0	0
SEPT7-AS1	65	85	42	56	94	102	23	44	131	120	74	169	40	20	93
TMEM120B	133	109	164	96	135	151	106	113	114	148	137	203	102	167	168
RP11-411B10.2	0	5	0	3	0	1	0	0	0	0	0	0	0	1	0
MRPL30P1	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0
CDC42EP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3679	26	23	12	16	37	25	8	66	37	44	9	54	7	14	46
HNRNPA1P70	47	15	26	8	27	13	73	34	47	55	40	48	57	8	4
ANKRD45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METTL8P1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM164	85	60	108	106	151	89	115	60	94	117	83	129	16	89	67
CTD-2525I3.8	2	0	0	4	0	0	0	1	0	2	0	0	0	0	0
RHBDD1	1695	1590	1525	890	1251	1559	1446	1346	1803	1821	876	1983	1016	995	1901
RP1-34L19.1	22	44	26	24	67	58	55	18	74	29	25	31	18	20	55
CXorf21	637	578	871	592	652	786	1217	595	407	857	529	942	913	494	560
BNIP3P33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP13-895J2.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UHRF1BP1	298	324	515	406	305	316	299	434	441	584	374	470	392	259	324
RNU2-72P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1A1P24	1	0	2	0	0	0	0	1	0	1	0	0	1	0	0
RP11-475A13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNC93B2	5	1	6	0	0	0	0	9	0	6	1	0	0	1	3
SAP30BP	2210	1917	2108	1547	2293	1952	2087	1968	2059	2329	1565	3248	1865	1812	2232
INSL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-123P	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
GMFG	3460	2698	3570	2526	3152	2102	4213	2890	2746	3393	2532	4563	2774	3821	3959
RP11-5K16.3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
KLHL3	190	137	81	94	37	92	128	126	134	167	68	128	96	60	43
RP11-280O24.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1055B8.1	0	0	0	0	7	11	14	1	3	0	5	9	0	0	2
RP11-264K23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOGP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MESTIT1_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASCC3	1879	1770	2277	1137	1483	1380	2030	1391	1452	1958	1758	2163	1739	1411	1476
RP11-276E17.2	1	2	0	0	1	4	2	1	2	2	0	0	3	1	0
LINC01103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC144833.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR7D2	0	0	0	28	5	0	0	0	0	48	20	0	0	3	0
RP11-401P9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UCP2	28015	18986	24230	20334	23237	16771	28139	25468	19860	23134	18938	31683	20814	21444	25038
RAD23B	968	939	1050	780	1117	822	805	879	1154	1329	387	1250	836	456	890
LINC00353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXA11-AS1_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTP6	2977	2272	2179	1373	2812	2232	2172	1933	2134	2787	1726	3583	1511	1821	2860
KRT18P59	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ABC12-47964100C23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52Q1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-244B22.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRAJ41	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
LRIT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000035.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAN2B2	1771	1386	1875	1649	1435	1241	2090	1110	1433	2227	1616	1828	1429	1229	1529
MAP3K19	1	1	1	0	0	2	0	0	0	2	2	0	0	0	7
TAGLN	246	260	188	193	281	306	253	238	392	230	226	185	321	164	283
FLJ40194	0	0	0	0	0	0	0	5	13	2	0	0	0	0	0
NAA38	590	505	643	454	438	452	874	495	399	633	369	803	565	596	678
MYRF	1	7	83	15	9	19	15	15	1	5	40	38	140	6	0
CTD-2105E13.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EP300	4473	3488	4466	2894	5024	3273	3363	3129	4318	4568	3330	5256	3248	2792	3312
TIRAP	217	159	262	102	168	160	255	131	132	222	147	343	175	119	196
DBR1	538	328	365	259	369	397	494	235	300	499	164	827	358	259	480
RP11-572H4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUB1P1	0	0	1	0	1	0	7	1	4	1	5	1	0	1	0
RP11-83M16.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-714D9.2	1	0	0	0	0	1	0	0	0	3	1	2	1	1	0
MORF4L2P1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
MIR378G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-195E2.1	0	0	0	0	0	0	0	0	4	4	0	7	0	0	0
SNORD116-14	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
PLPP2	0	0	18	15	13	0	6	1	0	1	0	0	7	4	4
CTD-2095E4.4	17	9	2	5	20	25	6	7	6	9	15	15	3	0	1
CTB-134H23.3	7	7	17	13	36	11	11	14	28	31	4	6	14	6	6
TFF3	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0
CCNB1IP1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCb-64M4.1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
AKR7A3	18	3	0	1	10	4	6	8	20	28	6	4	7	9	16
RP11-644N4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGKV1OR22-5	0	0	0	1	0	1	0	0	0	0	3	0	2	4	0
GTF2F2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP6-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUMO2P12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71D	6	3	7	8	7	3	9	1	2	8	3	4	8	4	4
ELMO1-AS1	11	8	17	19	13	8	2	5	6	31	4	20	10	3	1
BPIFB1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RP11-428P16.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD99	3	7	6	3	6	3	2	7	8	7	3	12	4	6	7
LINC01036	0	0	5	0	0	0	0	4	3	6	0	5	0	0	0
RP5-1061H20.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRK	801	719	408	240	741	817	464	649	580	975	281	1316	269	205	699
ZNF440	202	156	158	111	102	179	163	185	191	177	89	296	218	164	65
RP11-491F9.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRK	120	51	121	71	138	86	72	112	105	106	81	164	103	89	122
FBXO8	371	184	396	162	299	262	392	271	251	283	147	485	382	218	359
RNU6-267P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1024	0	10	0	0	10	2	3	3	13	10	24	21	2	8	0
LAMTOR3P2	1	0	2	0	0	0	1	2	3	1	0	0	3	5	0
AKT1	1321	494	1684	792	2577	1000	847	663	843	805	1513	2812	663	919	1275
C3orf35	22	19	16	3	28	8	3	41	30	41	6	55	11	18	12
GRIPAP1	1786	1399	1627	1210	2054	1393	1482	1577	1761	2100	1120	2942	1441	1171	1504
RP11-732A19.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2227I18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1316P	0	1	2	0	0	1	0	2	2	2	2	2	6	1	3
RP4-591B8.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTBP2P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU5E-8P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1RL	75	81	100	38	71	51	38	103	86	86	59	114	59	94	62
MARVELD1	2	2	15	0	0	0	0	0	0	0	16	0	2	7	1
RP11-297A16.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007279.2	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NXPH3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
RP11-235D19.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-768P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMF1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGKJ1	143	148	173	148	123	111	175	105	131	101	110	188	177	197	165
MIR3689C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL57P	9	1	7	9	10	7	2	5	1	3	5	25	2	0	5
DPH3	607	378	670	509	561	431	789	368	499	579	285	821	549	533	622
LINC00365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTOR-AS1	11	10	17	4	9	6	6	9	10	18	9	9	1	5	8
ADGRG1	9	0	0	0	0	0	0	5	2	1	2	0	0	158	219
SKI	112	96	74	48	130	39	54	60	131	167	99	114	71	51	116
IFNA16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH2D4A	0	23	34	36	23	6	1	22	9	13	19	49	14	11	27
NOTCH2NL	29	16	50	30	16	28	26	53	45	29	13	38	35	13	18
RNA5SP511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-366M4.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-567F11.1	2	0	0	4	0	2	5	1	1	1	0	2	2	2	2
RN7SKP148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-115N4.1	0	0	0	0	0	4	0	0	0	0	0	2	0	1	0
RP5-857K21.4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
AC092646.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FP325317.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC16	0	0	3	1	0	0	0	0	0	11	1	2	0	0	0
CCDC66	500	454	614	402	483	359	500	472	365	567	316	818	440	528	446
CLDN25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1360M22.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METTL18	566	322	368	309	364	510	561	337	312	395	220	693	406	429	491
C10orf126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3F3C	14	27	34	17	15	16	10	28	33	41	21	42	17	37	14
MIR4296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-502I4.3	34	20	33	17	28	16	13	39	16	24	4	7	14	29	58
RNU6-1238P	0	1	0	0	2	0	0	0	0	5	0	0	0	0	0
ALDH1L1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-903H12.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ARSEP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2233K9.1	43	25	24	20	33	34	58	37	24	37	20	43	43	17	19
RN7SL35P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2370N5.3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RP11-817I4.2	8	10	21	20	20	19	5	21	16	27	4	37	5	13	14
LRRC72	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GBP1P1	0	2	13	0	0	2	1	1	2	10	0	10	9	0	1
RP11-491H9.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
STYK1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BMS1P2	2	0	0	1	0	4	0	1	1	2	0	1	1	0	1
RP11-506K6.4	0	0	0	4	0	0	0	0	3	2	2	0	0	0	0
RUNX1T1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RP11-227D13.2	0	0	0	0	2	0	0	0	0	0	0	1	1	0	2
RP11-897M7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006116.21	0	0	3	0	0	4	0	3	0	3	0	0	0	0	0
AC073130.3	2	2	1	1	0	0	2	1	0	2	2	0	0	2	2
RP11-845M18.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-456K23.1	44	48	83	31	52	40	26	34	33	43	36	66	15	68	71
OR7E99P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPM1P11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
RP11-7K24.3	0	0	0	0	20	0	0	0	0	0	2	6	0	0	0
RP11-166O4.6	4	6	4	4	3	5	5	7	5	13	5	10	6	1	1
KRT19P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXC-AS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP13-497K6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAD	1490	1051	1892	1168	1258	1057	1967	1675	984	1443	1293	1536	1174	1131	1217
RP11-495P10.3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
HYOU1	579	344	604	305	627	308	572	257	296	340	524	605	572	748	357
CNOT2	2023	1817	1989	1501	1976	1483	1782	1941	1715	2191	1561	2530	1653	1643	1968
CNST	2123	1957	2203	1521	2398	1863	1804	3344	2134	2410	1593	3786	1637	1450	2573
AHCYP5	3	1	3	0	0	6	0	0	6	0	0	0	0	0	1
RB1	4917	4253	4690	3011	5898	3599	4296	4388	4871	5503	2824	7220	3589	3967	6187
RIOK2	614	408	574	409	458	510	773	312	539	682	426	721	556	450	437
TMEM256	114	88	161	106	92	97	168	93	86	116	73	109	116	121	109
ABCF2	1531	1073	1371	1120	1343	1165	1729	1166	1078	1587	1530	1560	1260	1255	1153
TCEB1P11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL21P112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
